,randomx,progpow,cuckatoo,height,timestamp
0,9082846,8619528577,11874,938257,1622411448
0,9082846,8727533410,11874,938258,1622411619
0,9029702,8727533410,11874,938259,1622411650
0,8982627,8727533410,11874,938260,1622411735
0,8982627,8744432175,11874,938261,1622411742
0,8972291,8744432175,11874,938262,1622411867
0,8972291,8797180767,11874,938263,1622411889
0,9014424,8797180767,11874,938264,1622412020
0,9007293,8797180767,11874,938265,1622412060
0,9007293,8757745076,11874,938266,1622412111
0,8906023,8757745076,11874,938267,1622412121
0,8906023,8757745076,11982,938268,1622412124
0,8949840,8757745076,11982,938269,1622412133
0,8949840,8753673065,11982,938270,1622412221
0,8969719,8753673065,11982,938271,1622412301
0,8969719,8789581032,11982,938272,1622412409
0,8910554,8789581032,11982,938273,1622412503
0,8838752,8789581032,11982,938274,1622412512
0,8838752,8747771809,11982,938275,1622412601
0,8832857,8747771809,11982,938276,1622412607
0,8871970,8747771809,11982,938277,1622412647
0,8871970,8785234866,11982,938278,1622412701
0,8884470,8785234866,11982,938279,1622412726
0,8884470,8776291093,11982,938280,1622412735
0,8868659,8776291093,11982,938281,1622412900
0,8860281,8776291093,11982,938282,1622412915
0,8860281,8786412694,11982,938283,1622412946
0,8785280,8786412694,11982,938284,1622412961
0,8785280,8798854324,11982,938285,1622413132
0,8784702,8798854324,11982,938286,1622413150
0,8705175,8798854324,11982,938287,1622413168
0,8705175,8885522514,11982,938288,1622413187
0,8746618,8885522514,11982,938289,1622413248
0,8746618,8869058423,11982,938290,1622413400
0,8740572,8869058423,11982,938291,1622413446
0,8612062,8869058423,11982,938292,1622413474
0,8612062,8885420136,11982,938293,1622413534
0,8600604,8885420136,11982,938294,1622413565
0,8536819,8950806420,11982,938297,1622413672
0,8536819,8913364269,11982,938298,1622413748
0,8582054,8913364269,11982,938299,1622413757
0,8512339,8913364269,11982,938300,1622413800
0,8512339,9009294651,11982,938301,1622413870
0,8572226,9009294651,11982,938302,1622413879
0,8572226,9006170967,11982,938303,1622413904
0,8620998,9006170967,11982,938304,1622413946
0,8611107,9006170967,11982,938305,1622414032
0,8611107,9031712733,11982,938306,1622414053
0,8617289,9031712733,11982,938307,1622414053
0,8617289,8986712587,11982,938308,1622414084
0,8651701,8986712587,11982,938309,1622414099
0,8655434,8986712587,11982,938310,1622414117
0,8655434,9058110346,11982,938311,1622414133
0,8640875,9058110346,11982,938312,1622414145
0,8640875,9132131046,11982,938313,1622414172
0,8650507,9132131046,11982,938314,1622414234
0,8728474,9132131046,11982,938315,1622414288
0,8728474,9217827041,11982,938316,1622414334
0,8694413,9217827041,11982,938317,1622414362
0,8694413,9217827041,12112,938318,1622414389
0,8716214,9217827041,12112,938319,1622414426
0,8716214,9218994016,12112,938320,1622414447
0,8719872,9218994016,12112,938321,1622414469
0,8719872,9225119971,12112,938322,1622414520
0,8726998,9225119971,12112,938323,1622414695
0,8722654,9225119971,12112,938324,1622414707
0,8722654,9262618061,12112,938325,1622414759
0,8620187,9262618061,12112,938326,1622414771
0,8592826,9262618061,12112,938327,1622414817
0,8592826,9322975206,12112,938328,1622414869
0,8648545,9322975206,12112,938329,1622414930
0,8667800,9326599000,12112,938332,1622415003
0,8667800,9327139110,12112,938333,1622415067
0,8693473,9327139110,12112,938334,1622415079
0,8693473,9366372139,12112,938335,1622415162
0,8690678,9469046560,12112,938338,1622415445
0,8605563,9469046560,12112,938339,1622415610
0,8605563,9598799839,12112,938340,1622415733
0,8649288,9598799839,12112,938341,1622415822
0,8578796,9598799839,12112,938342,1622415999
0,8578796,9601851953,12112,938343,1622416005
0,8522517,9601851953,12112,938344,1622416161
0,8613650,9601851953,12112,938345,1622416220
0,8613650,9497425602,12112,938346,1622416272
0,8562135,9497425602,12112,938347,1622416293
0,8562135,9550711361,12112,938348,1622416416
0,8559635,9550711361,12112,938349,1622416475
0,8493784,9550711361,12112,938350,1622416511
0,8493784,9639576755,12112,938351,1622416628
0,8480507,9639576755,12112,938352,1622416652
0,8480507,9680561439,12112,938353,1622416661
0,8389383,9680561439,12112,938354,1622416693
0,8393826,9680561439,12112,938355,1622416717
0,8393826,9725857661,12112,938356,1622416733
0,8556152,9725857661,12112,938357,1622416812
0,8556152,9745734685,12112,938358,1622416867
0,8603884,9745734685,12112,938359,1622416978
0,8687560,9745734685,12112,938360,1622416990
0,8687560,9765915310,12112,938361,1622417055
0,8620421,9765915310,12112,938362,1622417178
0,8620421,9822324720,12112,938363,1622417221
0,8581487,9822324720,12112,938364,1622417257
0,8546195,9822324720,12112,938365,1622417333
0,8546195,9795673820,12112,938366,1622417440
0,8597446,9795673820,12112,938367,1622417452
0,8597446,9795673820,12168,938368,1622417519
0,8540569,9795673820,12168,938369,1622417556
0,8540569,9765732362,12168,938370,1622417599
0,8487350,9765732362,12168,938371,1622417660
0,8487350,9749427743,12168,938372,1622417791
0,8518916,9749427743,12168,938373,1622417843
0,8498530,9749427743,12168,938374,1622418069
0,8498530,9743421479,12168,938375,1622418134
0,8530244,9743421479,12168,938376,1622418292
0,8546369,9743421479,12168,938377,1622418335
0,8546369,9543663545,12168,938378,1622418359
0,8425106,9543663545,12168,938379,1622418393
0,8425106,9559280063,12168,938380,1622418451
0,8454334,9559280063,12168,938381,1622418490
0,8413163,9559280063,12168,938382,1622418548
0,8413163,9580892144,12168,938383,1622418689
0,8495821,9580892144,12168,938384,1622418750
0,8495821,9792369219,12168,938385,1622418829
0,8380693,9792369219,12168,938386,1622418836
0,8433504,9792369219,12168,938387,1622418945
0,8433504,9859464401,12168,938388,1622418973
0,8426761,9859464401,12168,938389,1622419055
0,8426761,9792992322,12168,938390,1622419074
0,8416939,9792992322,12168,938391,1622419181
0,8523122,9792992322,12168,938392,1622419265
0,8523122,9821395936,12168,938393,1622419301
0,8484170,9821395936,12168,938394,1622419356
0,8517368,9821395936,12168,938395,1622419454
0,8517368,9757456741,12168,938396,1622419537
0,8481726,9757456741,12168,938397,1622419543
0,8481726,9690381709,12168,938398,1622419703
0,8418339,9690381709,12168,938399,1622419788
0,8369984,9690381709,12168,938400,1622419864
0,8369984,9734439942,12168,938401,1622419928
0,8311280,9734439942,12168,938402,1622419965
0,8311280,9674063365,12168,938403,1622420006
0,8313782,9674063365,12168,938404,1622420043
0,8295383,9674063365,12168,938405,1622420153
0,8295383,9903959717,12168,938406,1622420202
0,8290282,9903959717,12168,938407,1622420297
0,8290282,9858390278,12168,938408,1622420306
0,8291697,9858390278,12168,938409,1622420346
0,8299297,9858390278,12168,938410,1622420541
0,8299297,9803810031,12168,938411,1622420608
0,8275654,9803810031,12168,938412,1622420734
0,8275654,9656683490,12168,938413,1622420790
0,8218825,9656683490,12168,938414,1622420857
0,8192151,9656683490,12168,938415,1622420884
0,8192151,9567268996,12168,938416,1622420903
0,8185742,9567268996,12168,938417,1622420955
0,8185742,9567268996,12281,938418,1622420967
0,8206089,9567268996,12281,938419,1622421104
0,8206089,9587052340,12281,938420,1622421219
0,8200082,9587052340,12281,938421,1622421414
0,8200082,9536308404,12281,938422,1622421508
0,8119861,9536308404,12281,938423,1622421634
0,8058766,9536308404,12281,938424,1622421649
0,8058766,9492499801,12281,938425,1622421796
0,8095286,9492499801,12281,938426,1622421909
0,8018747,9492499801,12281,938427,1622421946
0,8018747,9539732678,12281,938428,1622421992
0,7936496,9539732678,12281,938429,1622422004
0,7936496,9518138705,12281,938430,1622422172
0,7927414,9518138705,12281,938431,1622422211
0,7830471,9518138705,12281,938432,1622422224
0,7830471,9576162934,12281,938433,1622422269
0,7803388,9576162934,12281,938434,1622422276
0,7803388,9584783459,12281,938435,1622422282
0,7801688,9584783459,12281,938436,1622422322
0,7845539,9584783459,12281,938437,1622422364
0,7845539,9628204216,12281,938438,1622422410
0,7914688,9628204216,12281,938439,1622422425
0,8006456,9623604600,12281,938442,1622422529
0,8006456,9659623952,12281,938443,1622422679
0,8040171,9659623952,12281,938444,1622422685
0,7951429,9659623952,12281,938445,1622422695
0,7951429,9630619497,12281,938446,1622422707
0,8043322,9630619497,12281,938447,1622422835
0,8043322,9670475917,12281,938448,1622422933
0,8082745,9670475917,12281,938449,1622422936
